Disease,Symptoms,Medicine/Remedy
Food Poisoning,"nausea, fever, diarrhea","ORS, hydration, light diet"
Flu,"fever, runny nose, cough","paracetamol, rest, hydration"
Asthma,"shortness of breath, cough, wheezing","inhaler, avoid triggers"
Malaria,"nausea, sweating","antimalarial drugs, paracetamol"
Migraine,"headache, nausea, sensitivity to light, dizziness","ibuprofen, rest in dark room, hydration"
Asthma,"chest tightness, cough, shortness of breath, wheezing","inhaler, avoid triggers"
Hypertension (High BP),"headache, fatigue, dizziness, chest pain","blood pressure medication, low-salt diet"
Food Poisoning,"fever, diarrhea","ORS, hydration, light diet"
Asthma,"shortness of breath, wheezing, chest tightness, cough","inhaler, avoid triggers"
Hypertension (High BP),"headache, chest pain, dizziness","blood pressure medication, low-salt diet"
Hypertension (High BP),"fatigue, chest pain","blood pressure medication, low-salt diet"
Migraine,"headache, dizziness","ibuprofen, rest in dark room, hydration"
Allergy,"sneezing, runny nose, itchy eyes, rash","antihistamine, avoid allergen"
Hypertension (High BP),"headache, fatigue, dizziness, chest pain","blood pressure medication, low-salt diet"
Common Cold,"fatigue, cough","rest, steam inhalation, paracetamol"
Flu,"sore throat, fever","paracetamol, rest, hydration"
Food Poisoning,"fever, vomiting, diarrhea, nausea","ORS, hydration, light diet"
Asthma,"cough, wheezing, shortness of breath","inhaler, avoid triggers"
Food Poisoning,"vomiting, diarrhea, nausea, fever","ORS, hydration, light diet"
COVID-19,"loss of taste, loss of smell, difficulty breathing, fever","rest, hydration, medical checkup"
Diabetes (High Sugar Symptoms),"blurred vision, frequent urination, excessive thirst","consult doctor, insulin (if prescribed), diet control"
Flu,"headache, fever, fatigue","paracetamol, rest, hydration"
Flu,"sore throat, runny nose, fatigue, fever","paracetamol, rest, hydration"
Malaria,"headache, nausea, fever, chills","antimalarial drugs, paracetamol"
Common Cold,"cough, fatigue, sore throat, runny nose","rest, steam inhalation, paracetamol"
Flu,"runny nose, fever","paracetamol, rest, hydration"
Malaria,"headache, fever, nausea","antimalarial drugs, paracetamol"
Flu,"runny nose, fever, sore throat, cough","paracetamol, rest, hydration"
Diabetes (High Sugar Symptoms),"blurred vision, frequent urination, excessive thirst, fatigue","consult doctor, insulin (if prescribed), diet control"
Migraine,"sensitivity to light, nausea","ibuprofen, rest in dark room, hydration"
Flu,"headache, cough, fatigue","paracetamol, rest, hydration"
Asthma,"cough, wheezing, chest tightness","inhaler, avoid triggers"
Food Poisoning,"vomiting, nausea","ORS, hydration, light diet"
Migraine,"sensitivity to light, nausea","ibuprofen, rest in dark room, hydration"
Common Cold,"sneezing, fatigue, runny nose","rest, steam inhalation, paracetamol"
Malaria,"fever, headache, nausea","antimalarial drugs, paracetamol"
COVID-19,"cough, difficulty breathing, fatigue, loss of taste","rest, hydration, medical checkup"
Malaria,"fever, sweating","antimalarial drugs, paracetamol"
Common Cold,"sore throat, cough, fatigue, runny nose","rest, steam inhalation, paracetamol"
Asthma,"chest tightness, cough, wheezing","inhaler, avoid triggers"
Hypertension (High BP),"headache, chest pain, fatigue","blood pressure medication, low-salt diet"
Migraine,"headache, sensitivity to light, dizziness","ibuprofen, rest in dark room, hydration"
Asthma,"cough, chest tightness, wheezing, shortness of breath","inhaler, avoid triggers"
Flu,"fever, runny nose","paracetamol, rest, hydration"
Malaria,"sweating, nausea","antimalarial drugs, paracetamol"
Hypertension (High BP),"fatigue, chest pain","blood pressure medication, low-salt diet"
Malaria,"chills, fever","antimalarial drugs, paracetamol"
Common Cold,"fatigue, sneezing, sore throat","rest, steam inhalation, paracetamol"
Asthma,"cough, wheezing","inhaler, avoid triggers"
Diabetes (High Sugar Symptoms),"frequent urination, excessive thirst, fatigue, blurred vision","consult doctor, insulin (if prescribed), diet control"
Flu,"fatigue, sore throat, headache, cough","paracetamol, rest, hydration"
Migraine,"dizziness, nausea","ibuprofen, rest in dark room, hydration"
Migraine,"headache, nausea, dizziness, sensitivity to light","ibuprofen, rest in dark room, hydration"
Migraine,"nausea, dizziness, sensitivity to light, headache","ibuprofen, rest in dark room, hydration"
Asthma,"chest tightness, wheezing","inhaler, avoid triggers"
Diabetes (High Sugar Symptoms),"frequent urination, excessive thirst, blurred vision","consult doctor, insulin (if prescribed), diet control"
Asthma,"shortness of breath, cough","inhaler, avoid triggers"
Common Cold,"sneezing, fatigue, sore throat","rest, steam inhalation, paracetamol"
Common Cold,"sore throat, cough, sneezing","rest, steam inhalation, paracetamol"
Flu,"runny nose, fatigue","paracetamol, rest, hydration"
Malaria,"nausea, headache, fever","antimalarial drugs, paracetamol"
Food Poisoning,"vomiting, nausea","ORS, hydration, light diet"
Asthma,"chest tightness, wheezing, cough","inhaler, avoid triggers"
Asthma,"shortness of breath, cough, wheezing","inhaler, avoid triggers"
Diabetes (High Sugar Symptoms),"blurred vision, fatigue, excessive thirst","consult doctor, insulin (if prescribed), diet control"
Common Cold,"fatigue, cough, sore throat","rest, steam inhalation, paracetamol"
Allergy,"itchy eyes, rash, sneezing, runny nose","antihistamine, avoid allergen"
Asthma,"wheezing, cough","inhaler, avoid triggers"
COVID-19,"difficulty breathing, cough, loss of smell","rest, hydration, medical checkup"
Migraine,"nausea, sensitivity to light, dizziness","ibuprofen, rest in dark room, hydration"
Diabetes (High Sugar Symptoms),"fatigue, excessive thirst","consult doctor, insulin (if prescribed), diet control"
COVID-19,"cough, loss of smell, fatigue","rest, hydration, medical checkup"
Malaria,"sweating, fever, chills","antimalarial drugs, paracetamol"
Hypertension (High BP),"chest pain, headache, fatigue","blood pressure medication, low-salt diet"
Asthma,"chest tightness, shortness of breath, cough, wheezing","inhaler, avoid triggers"
Common Cold,"sore throat, cough, sneezing, fatigue","rest, steam inhalation, paracetamol"
Asthma,"chest tightness, shortness of breath","inhaler, avoid triggers"
Malaria,"headache, sweating, nausea, fever","antimalarial drugs, paracetamol"
Common Cold,"cough, fatigue, runny nose, sneezing","rest, steam inhalation, paracetamol"
Flu,"headache, cough","paracetamol, rest, hydration"
Flu,"cough, headache","paracetamol, rest, hydration"
Asthma,"shortness of breath, chest tightness, cough, wheezing","inhaler, avoid triggers"
Asthma,"chest tightness, wheezing, cough","inhaler, avoid triggers"
Food Poisoning,"fever, vomiting, nausea","ORS, hydration, light diet"
Hypertension (High BP),"headache, chest pain, fatigue, dizziness","blood pressure medication, low-salt diet"
Diabetes (High Sugar Symptoms),"frequent urination, excessive thirst","consult doctor, insulin (if prescribed), diet control"
Food Poisoning,"fever, nausea","ORS, hydration, light diet"
Common Cold,"sore throat, fatigue, runny nose, cough","rest, steam inhalation, paracetamol"
Malaria,"chills, nausea, fever, headache","antimalarial drugs, paracetamol"
Allergy,"runny nose, itchy eyes","antihistamine, avoid allergen"
Hypertension (High BP),"chest pain, headache, dizziness","blood pressure medication, low-salt diet"
Food Poisoning,"stomach pain, diarrhea","ORS, hydration, light diet"
Malaria,"chills, headache, fever","antimalarial drugs, paracetamol"
Migraine,"dizziness, headache, nausea, sensitivity to light","ibuprofen, rest in dark room, hydration"
Diabetes (High Sugar Symptoms),"frequent urination, excessive thirst, fatigue","consult doctor, insulin (if prescribed), diet control"
Common Cold,"runny nose, cough, fatigue","rest, steam inhalation, paracetamol"
Food Poisoning,"fever, stomach pain, diarrhea","ORS, hydration, light diet"
COVID-19,"loss of taste, difficulty breathing","rest, hydration, medical checkup"
Common Cold,"cough, fatigue, sneezing","rest, steam inhalation, paracetamol"
Common Cold,"sore throat, cough, sneezing","rest, steam inhalation, paracetamol"
Allergy,"runny nose, rash, sneezing, itchy eyes","antihistamine, avoid allergen"
COVID-19,"fever, difficulty breathing","rest, hydration, medical checkup"
Diabetes (High Sugar Symptoms),"excessive thirst, blurred vision, frequent urination","consult doctor, insulin (if prescribed), diet control"
Common Cold,"fatigue, cough","rest, steam inhalation, paracetamol"
Hypertension (High BP),"chest pain, fatigue, dizziness","blood pressure medication, low-salt diet"
Flu,"cough, headache, sore throat","paracetamol, rest, hydration"
COVID-19,"difficulty breathing, loss of smell, loss of taste","rest, hydration, medical checkup"
Diabetes (High Sugar Symptoms),"frequent urination, excessive thirst, fatigue","consult doctor, insulin (if prescribed), diet control"
Migraine,"nausea, sensitivity to light, headache, dizziness","ibuprofen, rest in dark room, hydration"
Common Cold,"sore throat, runny nose, cough, fatigue","rest, steam inhalation, paracetamol"
Asthma,"chest tightness, wheezing","inhaler, avoid triggers"
Allergy,"itchy eyes, sneezing","antihistamine, avoid allergen"
COVID-19,"fatigue, cough","rest, hydration, medical checkup"
COVID-19,"loss of smell, loss of taste","rest, hydration, medical checkup"
Migraine,"headache, sensitivity to light, nausea","ibuprofen, rest in dark room, hydration"
Hypertension (High BP),"headache, dizziness, fatigue, chest pain","blood pressure medication, low-salt diet"
Migraine,"nausea, headache, sensitivity to light, dizziness","ibuprofen, rest in dark room, hydration"
Malaria,"chills, headache, fever","antimalarial drugs, paracetamol"
Hypertension (High BP),"headache, chest pain, dizziness, fatigue","blood pressure medication, low-salt diet"
Diabetes (High Sugar Symptoms),"excessive thirst, blurred vision, frequent urination","consult doctor, insulin (if prescribed), diet control"
Common Cold,"sore throat, cough","rest, steam inhalation, paracetamol"
Hypertension (High BP),"headache, fatigue, dizziness","blood pressure medication, low-salt diet"
Malaria,"nausea, headache, sweating, chills","antimalarial drugs, paracetamol"
Allergy,"rash, runny nose, itchy eyes","antihistamine, avoid allergen"
Hypertension (High BP),"dizziness, fatigue, headache","blood pressure medication, low-salt diet"
Food Poisoning,"fever, diarrhea, nausea, stomach pain","ORS, hydration, light diet"
Hypertension (High BP),"dizziness, chest pain","blood pressure medication, low-salt diet"
Common Cold,"sore throat, cough, runny nose, sneezing","rest, steam inhalation, paracetamol"
Migraine,"sensitivity to light, dizziness, nausea","ibuprofen, rest in dark room, hydration"
COVID-19,"cough, fever, loss of taste, loss of smell","rest, hydration, medical checkup"
Food Poisoning,"stomach pain, fever, diarrhea, vomiting","ORS, hydration, light diet"
Flu,"headache, fever, sore throat, runny nose","paracetamol, rest, hydration"
Hypertension (High BP),"chest pain, fatigue","blood pressure medication, low-salt diet"
Diabetes (High Sugar Symptoms),"blurred vision, fatigue, excessive thirst","consult doctor, insulin (if prescribed), diet control"
Flu,"sore throat, headache","paracetamol, rest, hydration"
Hypertension (High BP),"chest pain, fatigue, dizziness, headache","blood pressure medication, low-salt diet"
COVID-19,"fever, fatigue, loss of smell","rest, hydration, medical checkup"
Flu,"runny nose, fatigue, headache, fever","paracetamol, rest, hydration"
Allergy,"sneezing, rash","antihistamine, avoid allergen"
COVID-19,"loss of taste, fever","rest, hydration, medical checkup"
Migraine,"dizziness, nausea","ibuprofen, rest in dark room, hydration"
Flu,"cough, fatigue, fever","paracetamol, rest, hydration"
Hypertension (High BP),"chest pain, fatigue, headache","blood pressure medication, low-salt diet"
Common Cold,"sore throat, runny nose","rest, steam inhalation, paracetamol"
Food Poisoning,"fever, nausea, stomach pain, vomiting","ORS, hydration, light diet"
Migraine,"nausea, sensitivity to light","ibuprofen, rest in dark room, hydration"
Asthma,"cough, wheezing, chest tightness, shortness of breath","inhaler, avoid triggers"
Food Poisoning,"stomach pain, nausea, diarrhea","ORS, hydration, light diet"
COVID-19,"fatigue, cough, fever, loss of smell","rest, hydration, medical checkup"
Flu,"fatigue, sore throat, fever, headache","paracetamol, rest, hydration"
Malaria,"headache, sweating","antimalarial drugs, paracetamol"
Allergy,"sneezing, itchy eyes, rash, runny nose","antihistamine, avoid allergen"
Migraine,"headache, sensitivity to light","ibuprofen, rest in dark room, hydration"
Flu,"sore throat, runny nose, cough, fever","paracetamol, rest, hydration"
Hypertension (High BP),"chest pain, headache, dizziness, fatigue","blood pressure medication, low-salt diet"
Diabetes (High Sugar Symptoms),"blurred vision, excessive thirst, frequent urination, fatigue","consult doctor, insulin (if prescribed), diet control"
Common Cold,"sneezing, fatigue, sore throat","rest, steam inhalation, paracetamol"
COVID-19,"fatigue, loss of taste, loss of smell","rest, hydration, medical checkup"
Allergy,"itchy eyes, sneezing, runny nose, rash","antihistamine, avoid allergen"
Diabetes (High Sugar Symptoms),"blurred vision, frequent urination, fatigue","consult doctor, insulin (if prescribed), diet control"
Hypertension (High BP),"headache, chest pain, fatigue","blood pressure medication, low-salt diet"
Flu,"fever, runny nose","paracetamol, rest, hydration"
Asthma,"shortness of breath, chest tightness, wheezing, cough","inhaler, avoid triggers"
Hypertension (High BP),"dizziness, headache","blood pressure medication, low-salt diet"
Migraine,"nausea, dizziness, headache","ibuprofen, rest in dark room, hydration"
Malaria,"fever, nausea","antimalarial drugs, paracetamol"
COVID-19,"fever, loss of smell, fatigue, cough","rest, hydration, medical checkup"
Malaria,"sweating, nausea","antimalarial drugs, paracetamol"
Allergy,"itchy eyes, rash, sneezing","antihistamine, avoid allergen"
Hypertension (High BP),"chest pain, dizziness, headache","blood pressure medication, low-salt diet"
Allergy,"rash, sneezing","antihistamine, avoid allergen"
Flu,"sore throat, cough","paracetamol, rest, hydration"
Allergy,"itchy eyes, runny nose, rash, sneezing","antihistamine, avoid allergen"
Diabetes (High Sugar Symptoms),"fatigue, frequent urination, excessive thirst","consult doctor, insulin (if prescribed), diet control"
Asthma,"cough, chest tightness, shortness of breath, wheezing","inhaler, avoid triggers"
Food Poisoning,"nausea, vomiting, stomach pain","ORS, hydration, light diet"
Food Poisoning,"diarrhea, fever, stomach pain","ORS, hydration, light diet"
Hypertension (High BP),"fatigue, headache","blood pressure medication, low-salt diet"
Food Poisoning,"diarrhea, nausea","ORS, hydration, light diet"
Hypertension (High BP),"chest pain, headache","blood pressure medication, low-salt diet"
Common Cold,"sore throat, fatigue, runny nose, cough","rest, steam inhalation, paracetamol"
Food Poisoning,"vomiting, fever","ORS, hydration, light diet"
Food Poisoning,"fever, vomiting, stomach pain, diarrhea","ORS, hydration, light diet"
Asthma,"cough, shortness of breath, wheezing, chest tightness","inhaler, avoid triggers"
Malaria,"sweating, chills, nausea","antimalarial drugs, paracetamol"
Asthma,"wheezing, cough, chest tightness","inhaler, avoid triggers"
Hypertension (High BP),"fatigue, headache, dizziness, chest pain","blood pressure medication, low-salt diet"
Malaria,"headache, sweating, nausea","antimalarial drugs, paracetamol"
Hypertension (High BP),"fatigue, chest pain, dizziness","blood pressure medication, low-salt diet"
COVID-19,"loss of taste, loss of smell, fatigue","rest, hydration, medical checkup"
Migraine,"dizziness, nausea","ibuprofen, rest in dark room, hydration"
COVID-19,"cough, difficulty breathing","rest, hydration, medical checkup"
Common Cold,"sneezing, fatigue, runny nose, sore throat","rest, steam inhalation, paracetamol"
Allergy,"rash, runny nose, sneezing, itchy eyes","antihistamine, avoid allergen"
Malaria,"fever, sweating, nausea, headache","antimalarial drugs, paracetamol"
Allergy,"sneezing, runny nose","antihistamine, avoid allergen"
COVID-19,"difficulty breathing, loss of taste","rest, hydration, medical checkup"
COVID-19,"loss of taste, cough, loss of smell, fever","rest, hydration, medical checkup"
Food Poisoning,"stomach pain, nausea, diarrhea, vomiting","ORS, hydration, light diet"
Migraine,"nausea, sensitivity to light, dizziness, headache","ibuprofen, rest in dark room, hydration"
Diabetes (High Sugar Symptoms),"frequent urination, excessive thirst, fatigue, blurred vision","consult doctor, insulin (if prescribed), diet control"
COVID-19,"fatigue, loss of taste, fever","rest, hydration, medical checkup"
COVID-19,"fever, loss of taste","rest, hydration, medical checkup"
Migraine,"dizziness, sensitivity to light, nausea, headache","ibuprofen, rest in dark room, hydration"
Diabetes (High Sugar Symptoms),"fatigue, excessive thirst, frequent urination, blurred vision","consult doctor, insulin (if prescribed), diet control"
COVID-19,"fever, loss of smell, cough","rest, hydration, medical checkup"
Flu,"headache, cough, runny nose, sore throat","paracetamol, rest, hydration"
Flu,"sore throat, fever, headache","paracetamol, rest, hydration"
Malaria,"chills, nausea, fever, headache","antimalarial drugs, paracetamol"
Food Poisoning,"nausea, diarrhea","ORS, hydration, light diet"
Allergy,"runny nose, itchy eyes","antihistamine, avoid allergen"
Migraine,"sensitivity to light, headache, nausea","ibuprofen, rest in dark room, hydration"
Allergy,"sneezing, itchy eyes","antihistamine, avoid allergen"
Flu,"cough, headache","paracetamol, rest, hydration"
Diabetes (High Sugar Symptoms),"fatigue, frequent urination, excessive thirst, blurred vision","consult doctor, insulin (if prescribed), diet control"
Malaria,"chills, nausea, headache, sweating","antimalarial drugs, paracetamol"
Migraine,"headache, nausea, dizziness, sensitivity to light","ibuprofen, rest in dark room, hydration"
Food Poisoning,"stomach pain, nausea, diarrhea","ORS, hydration, light diet"
COVID-19,"fatigue, fever, cough, loss of taste","rest, hydration, medical checkup"
Allergy,"rash, sneezing, itchy eyes, runny nose","antihistamine, avoid allergen"
Allergy,"sneezing, runny nose, rash","antihistamine, avoid allergen"
Hypertension (High BP),"fatigue, chest pain","blood pressure medication, low-salt diet"
Food Poisoning,"vomiting, diarrhea, fever","ORS, hydration, light diet"
COVID-19,"cough, fever, loss of smell, fatigue","rest, hydration, medical checkup"
Malaria,"headache, sweating, nausea","antimalarial drugs, paracetamol"
Asthma,"wheezing, chest tightness","inhaler, avoid triggers"
Migraine,"dizziness, headache","ibuprofen, rest in dark room, hydration"
Malaria,"fever, chills, headache, sweating","antimalarial drugs, paracetamol"
Asthma,"chest tightness, cough, wheezing, shortness of breath","inhaler, avoid triggers"
Migraine,"sensitivity to light, nausea, headache, dizziness","ibuprofen, rest in dark room, hydration"
Hypertension (High BP),"fatigue, headache","blood pressure medication, low-salt diet"
Asthma,"cough, wheezing, chest tightness, shortness of breath","inhaler, avoid triggers"
Allergy,"rash, sneezing","antihistamine, avoid allergen"
Allergy,"runny nose, itchy eyes","antihistamine, avoid allergen"
Migraine,"dizziness, sensitivity to light, headache, nausea","ibuprofen, rest in dark room, hydration"
COVID-19,"fever, fatigue, loss of taste, cough","rest, hydration, medical checkup"
Migraine,"headache, dizziness","ibuprofen, rest in dark room, hydration"
Flu,"sore throat, cough","paracetamol, rest, hydration"
Allergy,"sneezing, rash","antihistamine, avoid allergen"
Asthma,"cough, shortness of breath, chest tightness","inhaler, avoid triggers"
Migraine,"dizziness, nausea, headache","ibuprofen, rest in dark room, hydration"
Diabetes (High Sugar Symptoms),"blurred vision, excessive thirst, fatigue","consult doctor, insulin (if prescribed), diet control"
Diabetes (High Sugar Symptoms),"blurred vision, excessive thirst, frequent urination, fatigue","consult doctor, insulin (if prescribed), diet control"
Migraine,"sensitivity to light, dizziness, headache, nausea","ibuprofen, rest in dark room, hydration"
Food Poisoning,"diarrhea, nausea, fever","ORS, hydration, light diet"
Food Poisoning,"nausea, diarrhea","ORS, hydration, light diet"
Migraine,"dizziness, headache, nausea","ibuprofen, rest in dark room, hydration"
Food Poisoning,"diarrhea, stomach pain, nausea, vomiting","ORS, hydration, light diet"
Food Poisoning,"diarrhea, fever","ORS, hydration, light diet"
Hypertension (High BP),"chest pain, dizziness","blood pressure medication, low-salt diet"
Migraine,"dizziness, sensitivity to light, nausea, headache","ibuprofen, rest in dark room, hydration"
Hypertension (High BP),"headache, fatigue","blood pressure medication, low-salt diet"
COVID-19,"cough, difficulty breathing, loss of smell","rest, hydration, medical checkup"
Allergy,"sneezing, rash, runny nose, itchy eyes","antihistamine, avoid allergen"
Malaria,"nausea, headache","antimalarial drugs, paracetamol"
Hypertension (High BP),"dizziness, headache, fatigue, chest pain","blood pressure medication, low-salt diet"
Malaria,"nausea, fever","antimalarial drugs, paracetamol"
Food Poisoning,"diarrhea, stomach pain","ORS, hydration, light diet"
Common Cold,"sore throat, fatigue, runny nose","rest, steam inhalation, paracetamol"
Common Cold,"sore throat, runny nose, cough, sneezing","rest, steam inhalation, paracetamol"
Food Poisoning,"diarrhea, stomach pain, fever, vomiting","ORS, hydration, light diet"
Asthma,"wheezing, chest tightness","inhaler, avoid triggers"
Hypertension (High BP),"fatigue, chest pain, dizziness","blood pressure medication, low-salt diet"
COVID-19,"fatigue, cough, loss of smell","rest, hydration, medical checkup"
Asthma,"shortness of breath, wheezing, chest tightness, cough","inhaler, avoid triggers"
Common Cold,"sneezing, runny nose, fatigue, cough","rest, steam inhalation, paracetamol"
Malaria,"fever, headache, chills","antimalarial drugs, paracetamol"
Malaria,"headache, fever, chills, sweating","antimalarial drugs, paracetamol"
Allergy,"rash, sneezing, itchy eyes","antihistamine, avoid allergen"
Malaria,"nausea, fever, sweating","antimalarial drugs, paracetamol"
Malaria,"nausea, chills, headache","antimalarial drugs, paracetamol"
Diabetes (High Sugar Symptoms),"fatigue, excessive thirst, blurred vision, frequent urination","consult doctor, insulin (if prescribed), diet control"
Food Poisoning,"fever, vomiting, stomach pain, diarrhea","ORS, hydration, light diet"
Allergy,"sneezing, itchy eyes","antihistamine, avoid allergen"
Allergy,"rash, itchy eyes, runny nose","antihistamine, avoid allergen"
Flu,"runny nose, sore throat","paracetamol, rest, hydration"
COVID-19,"cough, loss of taste, fever","rest, hydration, medical checkup"
Malaria,"fever, sweating, chills","antimalarial drugs, paracetamol"
Allergy,"itchy eyes, rash, runny nose, sneezing","antihistamine, avoid allergen"
Hypertension (High BP),"headache, chest pain, dizziness, fatigue","blood pressure medication, low-salt diet"
Diabetes (High Sugar Symptoms),"excessive thirst, frequent urination, blurred vision","consult doctor, insulin (if prescribed), diet control"
COVID-19,"cough, fatigue, fever","rest, hydration, medical checkup"
Flu,"runny nose, fatigue, sore throat","paracetamol, rest, hydration"
Migraine,"headache, dizziness, sensitivity to light","ibuprofen, rest in dark room, hydration"
Allergy,"runny nose, sneezing, rash","antihistamine, avoid allergen"
Allergy,"sneezing, itchy eyes","antihistamine, avoid allergen"
Diabetes (High Sugar Symptoms),"excessive thirst, frequent urination, blurred vision, fatigue","consult doctor, insulin (if prescribed), diet control"
COVID-19,"difficulty breathing, fatigue, loss of smell, loss of taste","rest, hydration, medical checkup"
Food Poisoning,"vomiting, fever, diarrhea","ORS, hydration, light diet"
Allergy,"runny nose, itchy eyes, rash, sneezing","antihistamine, avoid allergen"
Allergy,"runny nose, rash, sneezing, itchy eyes","antihistamine, avoid allergen"
Diabetes (High Sugar Symptoms),"excessive thirst, blurred vision, frequent urination, fatigue","consult doctor, insulin (if prescribed), diet control"
Hypertension (High BP),"fatigue, dizziness, headache, chest pain","blood pressure medication, low-salt diet"
Migraine,"headache, dizziness, nausea, sensitivity to light","ibuprofen, rest in dark room, hydration"
Hypertension (High BP),"chest pain, dizziness","blood pressure medication, low-salt diet"
Hypertension (High BP),"dizziness, chest pain","blood pressure medication, low-salt diet"
Malaria,"chills, nausea","antimalarial drugs, paracetamol"
Migraine,"dizziness, headache, sensitivity to light, nausea","ibuprofen, rest in dark room, hydration"
Malaria,"fever, chills","antimalarial drugs, paracetamol"
Food Poisoning,"fever, stomach pain","ORS, hydration, light diet"
Common Cold,"cough, sore throat, sneezing, fatigue","rest, steam inhalation, paracetamol"
Migraine,"headache, dizziness, sensitivity to light, nausea","ibuprofen, rest in dark room, hydration"
Allergy,"runny nose, sneezing, rash, itchy eyes","antihistamine, avoid allergen"
Migraine,"nausea, sensitivity to light, headache","ibuprofen, rest in dark room, hydration"
Diabetes (High Sugar Symptoms),"frequent urination, blurred vision, excessive thirst, fatigue","consult doctor, insulin (if prescribed), diet control"
COVID-19,"fever, fatigue","rest, hydration, medical checkup"
Food Poisoning,"diarrhea, fever","ORS, hydration, light diet"
Malaria,"nausea, headache","antimalarial drugs, paracetamol"
Diabetes (High Sugar Symptoms),"frequent urination, blurred vision, excessive thirst, fatigue","consult doctor, insulin (if prescribed), diet control"
Asthma,"cough, wheezing","inhaler, avoid triggers"
